run_id,model_number,1JHN_mae_cv,1JHN_logmae_cv,depth,learning_rate,model_type,n_fold,eval_metric,n_features,1JHN_features,random_state,hours_total,1JHN_meta_fc_mae_cv_f1,1JHN_meta_fc_mae_cv_f2,1JHN_meta_fc_mae_cv_f3,n_estimators,early_stopping_rounds,n_threads,training_time,gml_oof_score,oof_score,lb_score,1JHN_std_mae_cv,1JHN_f1_best_iter,1JHN_f2_best_iter,1JHNcv_f1,1JHNcv_f2,1JHN_meta_fc_est,1JHN_meta_fc_metafolds,1JHN_f3_best_iter,1JHNcv_f3,1JHN_meta_fc_lmae_cv_f1,1JHN_meta_fc_lmae_cv_f2,1JHN_meta_fc_lmae_cv_f3,1JHN_f1-2_metafc_best_iter,1JHN_f1-3_metafc_best_iter,1JHN_f2-2_metafc_best_iter,1JHN_f2-3_metafc_best_iter,1JHN_f3-2_metafc_best_iter,1JHN_f3-3_metafc_best_iter,1JHN_tr_hour_f1,1JHN_pred_hour_f1,1JHN_tr_hour_f2,1JHN_pred_hour_f2,1JHN_csv_save_hour,1JHN_tr_hour_f3,1JHN_pred_hour_f3
0703_2133,M032,0.4427,-0.8149,7.0000,0.1000,catboost,3,MAE,293.0000,,529,1.6361,,,,5000000,50,16,85338.0000,-1.3405,0.3390,,0.0521,,,,,,,,,,,,,,,,,,0.1483,0.0000,0.3164,0.0000,0.0067,1.1644,0.0003
0708_1415,M039,0.4442,-0.8115,7.0000,0.1000,catboost,2,MAE,228.0000,,529,0.3936,,,,50000,500,16,7327.0000,-1.4994,0.2788,,0.0317,49921.0000,25993.0000,,,,,,,,,,,,,,,,0.2561,0.0000,0.1300,0.0000,0.0075,,
0629_2221,M027,0.4457,-0.8081,,0.1000,catboost,2,group_mae,241.0000,,529,0.8309,,,,500000,500,24,36762.0000,-1.2683,0.3677,-1.3520,0.0360,,,,,,,,,,,,,,,,,,0.1089,0.0000,0.7128,0.0003,0.0089,,
0726_1820,M054,0.4576,-0.7818,7.0000,0.1000,catboost,3,MAE,,1048.0000,529,0.8733,0.5536,0.5282,0.5359,10000,500,48,11952.0000,0.0136,16.4317,,0.0167,9999.0000,9997.0000,0.4789,0.4559,10000.0000,2.0000,9985.0000,0.4380,-0.5913,-0.6384,-0.6239,,,,,,,0.2869,0.0000,0.2900,0.0000,,0.2964,0.0000
0627_0017,M023,0.4658,-0.7640,,0.3000,lgbm,2,group_mae,167.0000,,529,0.0406,,,,500000,500,48,44349.0000,-1.1118,0.4420,-1.2640,0.0013,,,,,,,,,,,,,,,,,,0.0156,0.0011,0.0156,0.0011,0.0072,,
0626_0129,M021,0.5158,-0.6620,,0.3000,lgbm,2,group_mae,41.0000,,529,0.0465,,,,500000,500,60,21636.0900,1.5972,11.9581,-1.0400,0.0045,,,,,,,,,,,,,,,,,,0.0147,0.0005,0.0235,0.0007,0.0071,,
0630_1258,M028,0.5243,-0.6457,,0.1000,catboost,2,group_mae,186.0000,,529,0.2456,,,,5000000,500,24,35730.0000,-1.2487,0.3684,,0.0220,,,,,,,,,,,,,,,,,,0.1767,0.0000,0.0606,0.0000,0.0083,,
0702_0822,M031,0.5595,-0.5807,7.0000,0.0500,catboost,3,MAE,240.0000,,529,0.3767,,,,5000000,500,16,,,,,0.0583,,,,,,,,,,,,,,,,,,0.0861,0.0000,0.0719,0.0000,0.0081,0.2106,0.0000
0623_1352,M018,0.5850,-0.5361,,0.1000,lgbm,2,group_mae,50.0000,,529,0.0203,,,,5000,500,52,1872.9200,1.6174,12.0448,-0.6340,0.0018,,,,,,,,,,,,,,,,,,0.0064,0.0003,0.0065,0.0002,0.0069,,
0704_2236,M034,0.5957,-0.5180,7.0000,0.0500,catboost,2,MAE,295.0000,,529,0.1470,,,,500000,50,16,,,,,0.0173,,,,,,,,,,,,,,,,,,0.0817,0.0000,0.0589,0.0000,0.0064,,
0621_0331,M017,0.6011,-0.5090,,0.1000,lgbm,3,group_mae,50.0000,,529,8.4833,,,,500000,500,42,,,,1.8210,0.0038,,,,,,,,,,,,,,,,,,,,,,8.4833,,
0624_0121,M020,0.6449,-0.4387,,0.3000,lgbm,2,group_mae,44.0000,,529,0.0251,,,,500000,500,60,21487.8000,1.6188,12.0366,-0.6660,0.0048,,,,,,,,,,,,,,,,,,0.0070,0.0002,0.0108,0.0004,0.0067,,
0623_1435,M019,0.6467,-0.4359,,0.3000,lgbm,2,group_mae,44.0000,,529,0.0324,,,,50000,500,52,13891.4700,1.6189,12.0371,-0.6640,0.0054,,,,,,,,,,,,,,,,,,0.0163,0.0007,0.0083,0.0003,0.0068,,
0723_1745,M052,0.6618,-0.4128,10.0000,0.0100,catboost,3,MAE,,383.0000,529,1.1497,0.7645,0.7682,0.6923,500000,50,48,,,,,0.0129,2439.0000,11353.0000,0.6800,0.6527,500000.0000,2.0000,5286.0000,0.6527,-0.2686,-0.2637,-0.3677,,,,,,,0.2736,0.0000,0.4897,0.0000,,0.3864,0.0000
0618_0349,M016,0.8608,-0.1499,,0.2000,lgbm,5,group_mae,51.0000,,529,0.0000,,,,500000,500,42,,,0.7409,-0.6950,0.0068,,,,,,,,,,,,,,,,,,,,,,,,
0611_1249,M014,0.8751,-0.1334,,0.3000,,5,mae,28.0000,,529,0.0000,,,,500000,500,24,,,0.9142,-0.2750,0.0102,,,,,,,,,,,,,,,,,,,,,,,,
0613_0402,M015,0.9161,-0.0876,,0.3000,,5,mae,51.0000,,529,0.0000,,,,500000,500,24,,,0.7914,-0.6710,0.0059,,,,,,,,,,,,,,,,,,,,,,,,
0611_0308,M012,0.9773,-0.0230,,0.5000,,5,mae,28.0000,,529,0.0000,,,,500000,500,32,,,1.0109,-0.2020,0.0152,,,,,,,,,,,,,,,,,,,,,,,,
0610_1341,M010,1.0336,0.0331,,0.5000,,5,mae,61.0000,,529,0.0000,,,,500000,500,32,,,0.9210,-0.4520,0.0095,,,,,,,,,,,,,,,,,,,,,,,,
0611_1250,M013,1.0337,0.0331,,0.5000,catboost,5,mae,28.0000,,529,0.0000,,,,50000,500,32,137353.1900,,0.9488,,0.0189,,,,,,,,,,,,,,,,,,,,,,,,
