run_id,model_number,2JHH_mae_cv,2JHH_logmae_cv,depth,learning_rate,model_type,n_fold,eval_metric,n_features,2JHH_features,random_state,hours_total,2JHH_meta_fc_mae_cv_f1,2JHH_meta_fc_mae_cv_f2,2JHH_meta_fc_mae_cv_f3,n_estimators,early_stopping_rounds,n_threads,training_time,gml_oof_score,oof_score,lb_score,2JHH_std_mae_cv,2JHH_f1_best_iter,2JHH_f2_best_iter,2JHHcv_f1,2JHHcv_f2,2JHH_meta_fc_est,2JHH_meta_fc_metafolds,2JHH_f3_best_iter,2JHHcv_f3,2JHH_meta_fc_lmae_cv_f1,2JHH_meta_fc_lmae_cv_f2,2JHH_meta_fc_lmae_cv_f3,2JHH_f1-2_metafc_best_iter,2JHH_f1-3_metafc_best_iter,2JHH_f2-2_metafc_best_iter,2JHH_f2-3_metafc_best_iter,2JHH_f3-2_metafc_best_iter,2JHH_f3-3_metafc_best_iter,2JHH_tr_hour_f1,2JHH_pred_hour_f1,2JHH_tr_hour_f2,2JHH_pred_hour_f2,2JHH_csv_save_hour,2JHH_tr_hour_f3,2JHH_pred_hour_f3
0626_0129,M021,0.3138,-1.1590,,0.3000,lgbm,2,group_mae,41.0000,,529,0.1823,,,,500000,500,60,21636.0900,1.5972,11.9581,-1.0400,0.0005,,,,,,,,,,,,,,,,,,0.0820,0.0138,0.0675,0.0120,0.0070,,
0621_0331,M017,0.3370,-1.0877,,0.1000,lgbm,3,group_mae,50.0000,,529,8.3790,,,,500000,500,42,,,,1.8210,0.0014,,,,,,,,,,,,,,,,,,,,,,8.3790,,
0623_1352,M018,0.3581,-1.0269,,0.1000,lgbm,2,group_mae,50.0000,,529,0.0448,,,,5000,500,52,1872.9200,1.6174,12.0448,-0.6340,0.0000,,,,,,,,,,,,,,,,,,0.0161,0.0031,0.0158,0.0030,0.0068,,
0618_0349,M016,0.3582,-1.0267,,0.2000,lgbm,5,group_mae,51.0000,,529,0.0000,,,,500000,500,42,,,0.7409,-0.6950,0.0019,,,,,,,,,,,,,,,,,,,,,,,,
0624_0121,M020,0.3787,-0.9710,,0.3000,lgbm,2,group_mae,44.0000,,529,0.2038,,,,500000,500,60,21487.8000,1.6188,12.0366,-0.6660,0.0008,,,,,,,,,,,,,,,,,,0.0657,0.0113,0.1025,0.0176,0.0067,,
0623_1435,M019,0.3802,-0.9671,,0.3000,lgbm,2,group_mae,44.0000,,529,0.1384,,,,50000,500,52,13891.4700,1.6189,12.0371,-0.6640,0.0010,,,,,,,,,,,,,,,,,,0.0413,0.0086,0.0671,0.0146,0.0068,,
0613_0402,M015,0.3843,-0.9563,,0.3000,,5,mae,51.0000,,529,0.0000,,,,500000,500,24,,,0.7914,-0.6710,0.0017,,,,,,,,,,,,,,,,,,,,,,,,
0611_1249,M014,0.4378,-0.8260,,0.3000,,5,mae,28.0000,,529,0.0000,,,,500000,500,24,,,0.9142,-0.2750,0.0016,,,,,,,,,,,,,,,,,,,,,,,,
0611_1250,M013,0.4442,-0.8115,,0.5000,catboost,5,mae,28.0000,,529,0.0000,,,,50000,500,32,137353.1900,,0.9488,,0.0029,,,,,,,,,,,,,,,,,,,,,,,,
0610_1341,M010,0.4542,-0.7892,,0.5000,,5,mae,61.0000,,529,0.0000,,,,500000,500,32,,,0.9210,-0.4520,0.0011,,,,,,,,,,,,,,,,,,,,,,,,
0611_0308,M012,0.4782,-0.7377,,0.5000,,5,mae,28.0000,,529,0.0000,,,,500000,500,32,,,1.0109,-0.2020,0.0006,,,,,,,,,,,,,,,,,,,,,,,,
