feature,1JHC,1JHN,2JHC,2JHH,2JHN,3JHC,3JHH,3JHN
a1_inring7,False,False,False,False,False,True,False,True
a1_inring8,False,False,False,False,False,True,False,False
a1_nb_c,True,False,True,True,True,True,True,True
a1_nb_degree,False,False,False,False,False,True,True,True
a1_nb_h,True,True,True,False,True,False,False,True
a1_nb_hybridization,False,True,True,False,True,False,True,True
a1_nb_inring,False,False,False,True,True,False,True,True
a1_nb_inring3,False,False,False,False,False,False,True,False
a1_nb_inring4,False,False,False,True,False,True,True,False
a1_nb_inring5,False,True,False,True,True,False,True,True
a1_nb_inring6,False,False,False,True,False,False,True,True
a1_nb_inring7,False,False,False,True,False,False,False,False
a1_nb_inring8,False,False,False,True,False,False,False,False
a1_nb_n,True,True,True,True,True,True,False,True
a1_nb_na,False,False,True,False,False,False,False,False
a1_nb_nb_c,False,False,False,True,False,False,True,False
a1_nb_nb_h,False,False,False,True,False,False,True,False
a1_nb_nb_n,False,False,False,True,False,False,True,False
a1_nb_nb_na,False,False,False,False,False,False,False,False
a1_nb_nb_o,False,False,False,True,False,False,True,False
a1_nb_o,True,False,True,False,True,True,False,True
adC1,True,True,True,True,True,True,True,True
adC2,True,True,True,True,True,True,True,True
adC3,True,True,True,True,True,True,True,True
adC4,True,True,True,True,True,True,True,True
adH1,True,True,True,True,True,True,True,True
adH2,True,False,True,True,False,True,True,True
adH3,False,False,False,False,False,False,False,False
adH4,False,False,False,False,False,False,False,False
adN1,True,True,True,True,True,True,True,True
adN2,True,True,True,True,True,True,False,False
adN3,False,False,False,False,False,False,False,False
adN4,False,True,False,False,False,False,False,False
alpha,True,False,False,False,False,False,False,False
angle_0_10th0_1,False,False,True,False,False,True,False,True
angle_0_10th1_1,True,False,False,False,False,False,False,False
angle_0_11th0_1,False,False,True,False,False,True,True,True
angle_0_11th1_1,True,False,True,False,False,False,False,False
angle_0_1_2nd1,True,True,True,False,True,True,True,True
angle_0_1_3rd1,True,True,True,True,True,True,True,True
angle_0_1_4th1,True,True,True,True,True,True,True,True
angle_0_1_5th1,True,True,True,True,True,True,True,True
angle_0_1_closest1,False,False,True,True,True,True,True,True
angle_0_2nd0_1,True,True,True,True,True,True,True,True
angle_0_2nd1_1,True,True,True,False,True,True,True,True
angle_0_3rd0_1,True,True,True,True,True,True,True,True
angle_0_3rd1_1,True,True,True,True,True,True,True,True
angle_0_4th0_1,True,True,True,True,True,True,True,True
angle_0_4th1_1,True,True,True,True,True,True,True,True
angle_0_5th0_1,True,False,True,True,True,True,True,True
angle_0_5th1_1,True,False,True,True,False,True,False,True
angle_0_6th0_1,True,True,True,True,True,True,True,True
angle_0_6th1_1,True,False,True,True,False,True,False,True
angle_0_7th0_1,True,False,True,True,True,True,True,True
angle_0_7th1_1,True,True,False,True,False,True,False,True
angle_0_8th0_1,True,False,True,False,False,True,True,True
angle_0_8th1_1,True,False,False,False,False,True,False,True
angle_0_9th0_1,False,False,True,False,False,True,False,True
angle_0_9th1_1,True,False,False,True,False,False,True,True
angle_0_closest0_1,False,False,True,True,True,True,True,True
angle_0_closest1_1,False,False,True,True,True,True,True,True
angle_1_0_10th0,True,False,True,False,False,True,False,True
angle_1_0_10th1,True,False,True,False,False,True,False,True
angle_1_0_11th0,True,False,False,False,False,True,False,True
angle_1_0_11th1,True,True,True,False,False,True,False,True
angle_1_0_2nd0,True,True,True,False,True,True,True,True
angle_1_0_3rd0,True,True,True,True,True,True,True,True
angle_1_0_4th0,True,True,True,True,True,True,True,True
angle_1_0_5th0,True,True,True,True,True,True,True,True
angle_1_0_6th0,True,True,True,True,True,True,True,True
angle_1_0_6th1,True,True,True,True,False,True,True,True
angle_1_0_7th0,True,False,True,True,False,True,True,True
angle_1_0_7th1,True,False,True,True,False,True,True,True
angle_1_0_8th0,True,False,True,True,True,True,True,True
angle_1_0_8th1,True,False,True,True,False,True,True,True
angle_1_0_9th0,True,False,True,True,False,True,True,True
angle_1_0_9th1,True,False,True,False,False,True,False,True
angle_1_0_closest0,False,False,True,True,True,True,True,True
angle_clos_0_2nd,True,True,True,True,True,True,True,True
angle_clos_1_2nd,True,True,True,True,True,True,True,True
atom0_spin_multiplicity,False,False,False,False,False,False,False,False
atom0_valence,False,False,False,False,False,False,False,False
atom1_spin_multiplicity,False,False,True,False,False,True,False,False
atom1_valence,True,True,True,False,True,True,False,True
atom_index_1.1,False,True,True,False,False,True,False,True
atomic_mass_not_0_max,True,False,True,False,False,True,False,True
