feature,1JHC,1JHN,2JHC,2JHH,2JHN,3JHH,3JHN
distance_3rd_closest_to_0,False,False,False,False,True,True,True
distance_3rd_closest_to_0_cube_inverse,False,False,False,False,False,True,True
distance_3rd_closest_to_1,True,True,False,False,False,True,True
distance_3rd_closest_to_1_cube_inverse,True,True,False,False,True,True,True
distance_4th_closest_to_0,True,False,False,False,False,True,True
distance_4th_closest_to_0_cube_inverse,True,False,True,False,True,True,False
distance_4th_closest_to_1,False,False,True,False,True,True,False
distance_4th_closest_to_1_cube_inverse,False,False,True,True,True,True,False
distance_5th_closest_to_0,False,False,False,False,True,False,False
distance_5th_closest_to_0_cube_inverse,False,False,False,False,True,False,True
distance_5th_closest_to_1,False,False,False,False,False,False,False
distance_5th_closest_to_1_cube_inverse,False,False,False,False,False,False,True
distance_6th_closest_to_0,False,False,False,False,True,False,False
distance_6th_closest_to_0_cube_inverse,False,False,False,False,True,False,True
distance_6th_closest_to_1,False,False,False,False,False,False,False
distance_6th_closest_to_1_cube_inverse,False,False,False,False,False,False,False
distance_7th_closest_to_1,False,False,False,False,False,False,False
distance_7th_closest_to_1_cube_inverse,False,False,False,False,False,False,True
distance_8th_closest_to_1,False,False,False,False,False,False,True
distance_8th_closest_to_1_cube_inverse,True,False,False,False,True,False,True
distance_9th_closest_to_0,False,False,False,False,False,False,False
distance_9th_closest_to_1,False,False,False,False,False,False,False
distance_9th_closest_to_1_cube_inverse,False,False,False,False,False,False,True
distance_closest_0,False,False,False,True,False,False,True
distance_closest_1,False,True,False,True,False,False,False
distance_closest_to_0,False,False,False,False,False,False,False
distance_closest_to_0_cube_inverse,False,False,False,False,True,True,False
distance_closest_to_1,False,False,False,True,True,False,False
distance_closest_to_1_cube_inverse,False,True,False,False,True,True,True
distance_farthest_0,False,False,False,False,True,False,True
distance_farthest_1,True,True,False,True,True,False,False
feat_acsf_g2_C__1_2__atom0,False,False,False,False,False,False,True
feat_acsf_g2_C__1_2__atom1,False,False,False,False,False,False,False
feat_acsf_g2_C__1_6__atom0,False,False,False,False,False,False,False
feat_acsf_g2_C__1_6__atom1,False,False,False,False,False,False,False
feat_acsf_g2_H__001_2__atom1,False,False,,False,False,False,False
feat_acsf_g2_H__001_6__atom1,False,False,,False,False,False,False
feat_acsf_g2_H__01_2__atom1,False,False,False,False,False,False,False
feat_acsf_g2_H__01_6__atom1,False,False,False,False,False,False,False
feat_acsf_g2_H__1_2__atom0,False,False,False,True,True,False,False
feat_acsf_g2_H__1_2__atom1,False,False,False,True,False,False,False
feat_acsf_g2_H__1_6__atom0,False,False,False,False,False,False,False
feat_acsf_g2_H__1_6__atom1,False,False,False,False,False,False,False
feat_acsf_g2_N__001_2__atom0,False,False,False,False,False,False,False
feat_acsf_g2_N__1_2__atom1,False,False,False,False,False,False,False
feat_acsf_g2_N__1_6__atom1,False,False,False,False,False,False,False
feat_acsf_g2_O__1_2__atom0,False,False,False,False,False,False,False
feat_acsf_g2_O__1_2__atom1,False,False,False,False,False,False,False
feat_acsf_g2_O__1_6__atom0,False,False,False,False,False,False,False
feat_acsf_g2_O__1_6__atom1,False,False,False,False,False,False,False
feat_acsf_g4_C_C__001_4_-1__atom0,False,False,False,False,False,False,False
feat_acsf_g4_C_C__001_4_-1__atom1,False,False,False,False,False,False,False
feat_acsf_g4_C_C__001_4_1__atom0,False,False,False,False,False,False,False
feat_acsf_g4_C_C__001_4_1__atom1,False,False,False,False,False,False,False
feat_acsf_g4_C_C__01_4_-1__atom0,False,False,False,False,True,False,False
feat_acsf_g4_C_C__01_4_-1__atom1,False,True,False,False,True,False,True
feat_acsf_g4_C_C__01_4_1__atom1,False,False,False,False,False,False,False
feat_acsf_g4_C_C__1_4_-1__atom0,False,False,False,True,True,False,True
feat_acsf_g4_C_C__1_4_-1__atom1,False,False,False,False,True,False,False
feat_acsf_g4_C_C__1_4_1__atom0,False,False,False,True,True,False,True
feat_acsf_g4_C_C__1_4_1__atom1,False,False,False,True,False,True,False
feat_acsf_g4_C_H__01_4_-1__atom0,False,False,False,False,True,False,False
feat_acsf_g4_C_H__01_4_-1__atom1,False,False,False,False,False,False,True
feat_acsf_g4_C_H__01_4_1__atom0,True,False,False,False,False,False,False
feat_acsf_g4_C_H__01_4_1__atom1,False,False,False,False,False,False,False
feat_acsf_g4_C_H__1_4_-1__atom0,False,False,False,True,True,False,True
feat_acsf_g4_C_H__1_4_-1__atom1,False,True,False,True,True,False,True
feat_acsf_g4_C_H__1_4_1__atom0,False,False,False,True,True,False,False
feat_acsf_g4_C_H__1_4_1__atom1,False,False,False,True,False,False,False
feat_acsf_g4_H_H__001_4_-1__atom0,False,False,False,False,False,False,False
feat_acsf_g4_H_H__001_4_-1__atom1,False,False,False,False,False,False,False
feat_acsf_g4_H_H__01_4_-1__atom0,False,False,False,False,True,False,False
feat_acsf_g4_H_H__01_4_-1__atom1,False,True,False,False,False,False,False
feat_acsf_g4_H_H__01_4_1__atom0,False,False,False,False,False,False,False
feat_acsf_g4_H_H__01_4_1__atom1,False,False,False,True,False,False,False
feat_acsf_g4_H_H__1_4_-1__atom0,False,False,False,False,True,False,True
feat_acsf_g4_H_H__1_4_-1__atom1,False,True,False,False,True,False,False
feat_acsf_g4_H_H__1_4_1__atom0,False,False,False,False,False,False,False
feat_acsf_g4_H_H__1_4_1__atom1,False,True,False,False,False,False,False
feat_acsf_g4_N_C__001_4_-1__atom0,False,False,False,False,False,False,False
feat_acsf_g4_N_C__01_4_-1__atom0,False,False,False,False,False,False,False
feat_acsf_g4_N_C__01_4_-1__atom1,False,False,False,False,False,False,True
feat_acsf_g4_N_C__01_4_1__atom0,False,False,False,False,False,False,False
feat_acsf_g4_N_C__1_4_-1__atom0,False,False,False,False,True,False,True
feat_acsf_g4_N_C__1_4_-1__atom1,False,False,False,False,False,False,False
feat_acsf_g4_N_C__1_4_1__atom0,False,False,False,False,True,True,True
feat_acsf_g4_N_C__1_4_1__atom1,False,False,False,True,False,False,False
feat_acsf_g4_N_H__01_4_1__atom1,False,False,False,False,False,False,False
feat_acsf_g4_N_H__1_4_-1__atom0,False,True,False,True,True,False,True
feat_acsf_g4_N_H__1_4_-1__atom1,False,True,False,True,False,False,True
feat_acsf_g4_N_H__1_4_1__atom0,False,False,False,False,True,False,True
feat_acsf_g4_N_H__1_4_1__atom1,False,False,False,False,False,False,False
feat_acsf_g4_N_N__001_4_1__atom0,False,False,False,False,False,False,False
feat_acsf_g4_N_N__1_4_-1__atom1,False,False,False,False,False,False,False
feat_acsf_g4_O_C__001_4_-1__atom0,False,False,False,False,False,False,False
feat_acsf_g4_O_C__001_4_-1__atom1,False,False,False,False,False,False,False
feat_acsf_g4_O_C__001_4_1__atom0,False,False,False,False,False,False,False
feat_acsf_g4_O_C__01_4_-1__atom0,False,False,False,False,False,False,False
feat_acsf_g4_O_C__01_4_-1__atom1,False,False,False,False,True,False,False
feat_acsf_g4_O_C__01_4_1__atom1,False,False,False,False,False,False,False
feat_acsf_g4_O_C__1_4_-1__atom0,True,False,False,False,True,False,False
feat_acsf_g4_O_C__1_4_-1__atom1,False,False,True,False,False,False,False
feat_acsf_g4_O_C__1_4_1__atom0,False,False,False,True,True,True,False
feat_acsf_g4_O_C__1_4_1__atom1,False,False,False,True,True,True,False
feat_acsf_g4_O_H__001_4_-1__atom1,False,False,False,False,False,False,False
feat_acsf_g4_O_H__01_4_-1__atom0,False,False,False,False,False,False,False
feat_acsf_g4_O_H__01_4_-1__atom1,False,False,False,False,False,False,False
feat_acsf_g4_O_H__01_4_1__atom0,False,False,False,False,False,False,False
feat_acsf_g4_O_H__01_4_1__atom1,False,False,False,False,False,False,False
feat_acsf_g4_O_H__1_4_-1__atom0,False,False,False,True,False,False,False
feat_acsf_g4_O_H__1_4_-1__atom1,False,False,False,False,True,False,False
feat_acsf_g4_O_H__1_4_1__atom0,False,False,False,False,False,False,False
feat_acsf_g4_O_H__1_4_1__atom1,False,False,False,True,False,False,False
feat_acsf_g4_O_N__01_4_-1__atom1,False,False,False,False,False,False,False
feat_acsf_g4_O_N__01_4_1__atom1,False,False,False,False,False,False,False
feat_acsf_g4_O_N__1_4_-1__atom0,False,False,False,False,True,False,False
feat_acsf_g4_O_N__1_4_-1__atom1,False,False,False,False,False,False,False
feat_acsf_g4_O_N__1_4_1__atom0,False,False,False,False,True,False,True
